12,451
30,435
190,466
366,452
425,473
430,457
513,469
499,446
705,467
759,451
1147,496
1268,488
1316,484
1272,451
1441,464
1515,465
1984,475
1995,442
2279,480
2329,462
2351,478
2357,452
2611,470
2636,447
3016,484
3035,462
3058,483
3061,463
3677,484
3557,487
3592,483
3599,455
3930,478
3748,447
3902,464
4005,439
4222,467
4247,441
4614,489
4619,475
5053,484
5056,477
5315,485
5221,468
5377,483
5413,460
5588,472
5551,449
5826,459
5757,426
6092,459
6243,444
6524,468
6496,452
6680,502
6562,482
6886,483
6838,458
6923,476
6932,447
7076,459
7073,430
7247,456
7248,424
