37,449
37,436
421,451
421,433
438,455
438,434
784,463
784,448
961,459
961,442
1111,451
1111,435
1292,451
1292,432
1530,449
1530,433
1819,451
1819,440
2023,451
2023,435
2255,454
2255,440
2541,465
2541,459
2671,461
2671,441
3010,463
3010,448
3371,463
3371,442
3941,457
3941,436
4170,457
4170,447
4419,459
4419,450
4681,459
4681,452
4823,459
4823,442
5034,459
5034,436
5386,464
5386,454
5593,464
5593,451
5912,464
5912,452
6023,456
6023,440
6273,456
6273,443
6538,456
6538,442
6856,454
6856,438
6978,438
6978,421
7421,448
7421,426
7771,460
7771,455
7949,463
7949,456
8111,454
8111,433
8587,463
8587,446
8774,458
8774,437
9075,458
9075,450
9391,466
9391,456
9613,472
9613,462
9722,464
9722,442
9971,457
9971,443
10435,462
10435,452
10654,464
10654,453
10947,474
10947,465
11131,466
11131,449
11428,460
11428,446
11752,466
11752,456
11887,466
11887,457
11953,441
11953,423
12691,446
12691,427
13088,446
13088,428
13274,441
13274,421
13557,441
13557,429
13791,453
13791,434
13992,451
13992,433
14258,451
14258,437
14582,455
14582,439
