188,415
130,406
1592,419
1640,392
1842,420
1935,397
2161,420
2200,399
2470,416
2521,393
2966,411
2979,386
3321,410
3372,387
3717,414
3789,393
4534,415
4565,369
4812,400
4947,370
5717,409
5831,389
6182,414
6263,400
6539,420
6629,382
6893,426
6954,402
7151,424
7153,397
7510,424
7561,406
7788,421
7813,397
8193,417
8302,394
8754,415
8705,357
9759,418
9786,398
10100,425
10216,409
10414,424
10480,406
10630,415
10643,393
10970,415
11105,393
11360,419
11480,409
11807,421
11893,398
12213,422
12273,395
12767,422
12773,395
13011,422
13116,399
13298,416
13308,375
14016,419
14141,378
14402,412
14387,366
14756,408
14812,394
15109,409
15169,397
