# images/20170709/IMG_0903.m4v
70,397
70,371
1169,418
1169,397
1584,418
1584,402
2172,418
2172,398
2480,418
2480,395
2957,410
2957,386
3338,410
3338,384
3791,410
3791,395
4554,396
4554,369
4920,396
4920,377
5371,416
5371,394
5814,413
5814,392
6246,425
6246,410
6554,421
6554,402
7168,424
7168,407
7795,418
7795,401
8238,418
8238,399
8720,396
8720,372
9786,416
9786,397
10115,424
10115,411
10400,414
10400,392
10613,410
10613,389
11044,410
11044,396
11456,421
11456,407
12211,421
12211,401
12730,414
12730,397
13050,415
13050,398
13315,407
13315,384
14130,407
14130,390
14391,400
14391,372
14790,408
14790,393
